Date,6857.T,8267.T,5201.T,2802.T,6770.T,6113.T,9202.T,8304.T,2502.T,3407.T
2015-04-20,1304.0372314453125,1404.008544921875,3351.0751953125,2427.548828125,2701.84619140625,958.231689453125,3047.954345703125,3440.105224609375,3561.57080078125,946.81982421875
2015-04-21,1336.4803466796875,1430.7427978515625,3355.222412109375,2510.652587890625,2753.5380859375,981.361328125,3073.513427734375,3455.259521484375,3583.230712890625,962.693115234375
2015-04-22,1368.0224609375,1429.821044921875,3380.1064453125,2511.575927734375,2740.61474609375,998.7086791992188,3112.765625,3440.105224609375,3596.49267578125,972.9893188476562
2015-04-23,1391.4537353515625,1412.7666015625,3384.254150390625,2500.49560546875,2755.38427734375,1017.7080078125,3119.155517578125,3462.83642578125,3582.346923828125,972.5604248046876
2015-04-24,1361.714111328125,1397.5556640625,3351.0751953125,2503.727294921875,2757.23046875,1006.9694213867188,3098.16015625,3447.683349609375,3561.129150390625,990.5785522460938
2015-04-27,1336.4803466796875,1414.1492919921875,3371.81201171875,2516.19287109375,2725.845703125,1002.8391723632812,3087.2060546875,3447.683349609375,3508.0830078125,986.2884521484376
2015-04-28,1288.716796875,1420.602294921875,3400.84375,2538.8154296875,2749.845947265625,1030.9249267578125,3092.683349609375,3409.79541015625,3489.959228515625,998.729736328125
2015-04-30,1277.001220703125,1374.5087890625,3342.78076171875,2457.0966796875,2757.23046875,1002.8391723632812,3028.78466796875,3394.6416015625,3408.62255859375,971.273193359375
2015-05-01,1247.2615966796875,1380.9619140625,3309.601318359375,2446.01611328125,2778.46142578125,980.5350341796876,3035.174560546875,3364.331298828125,3434.70361328125,964.8381958007812
2015-05-07,1231.9412841796875,1397.5556640625,3272.27490234375,2433.0888671875,2669.5380859375,1007.7952270507812,2926.547119140625,3349.17724609375,3426.304443359375,959.2610473632812
2015-05-08,1266.1868896484375,1380.0401611328125,3272.27490234375,2428.47216796875,2709.230224609375,998.7086791992188,2991.358642578125,3402.218505859375,3459.016357421875,969.1282958984376
2015-05-11,1290.5194091796875,1406.7742919921875,3272.27490234375,2408.15771484375,2744.307373046875,995.4046020507812,2990.445556640625,3409.79541015625,3470.95068359375,980.7116088867188
2015-05-12,1286.013427734375,1394.7899169921875,3288.864501953125,2432.166259765625,2815.384033203125,1006.1431274414062,3033.348876953125,3440.105224609375,3474.04541015625,961.406005859375
2015-05-13,1303.135986328125,1392.485107421875,3214.211669921875,2428.47216796875,2819.99951171875,1045.7943115234375,3005.9638671875,3409.79541015625,3476.255859375,960.5479736328124
2015-05-14,1279.7047119140625,1374.0478515625,3205.9169921875,2342.5986328125,2806.15380859375,1040.837890625,2975.84033203125,3349.17724609375,3439.1240234375,935.6654663085938
2015-05-15,1272.4952392578125,1385.5711669921875,3239.095947265625,2382.303466796875,2856.9228515625,1048.2723388671875,3008.702392578125,3394.6416015625,3575.71630859375,951.538818359375
2015-05-18,1286.013427734375,1419.680419921875,3276.421875,2396.6162109375,2847.692138671875,1063.141357421875,3009.615234375,3553.764892578125,3556.2666015625,963.1220092773438
2015-05-19,1284.2109375,1440.883544921875,3297.158935546875,2404.926025390625,2889.23046875,1059.8372802734375,3032.43603515625,3599.22900390625,3578.368408203125,956.6869506835938
2015-05-20,1275.198974609375,1439.500732421875,3293.01171875,2391.9990234375,2893.84619140625,1059.8372802734375,3051.605712890625,3644.69287109375,3615.500244140625,956.2579956054688
2015-05-21,1263.4832763671875,1474.53173828125,3297.158935546875,2378.610107421875,2884.614990234375,1049.924560546875,3014.179443359375,3652.26904296875,3633.182373046875,950.680908203125
2015-05-22,1271.5941162109375,1498.0394287109375,3371.81201171875,2327.823974609375,2949.23046875,1051.5765380859375,3000.487060546875,3667.4248046875,3630.97216796875,948.96484375
2015-05-25,1277.001220703125,1543.672119140625,3384.254150390625,2350.9091796875,2990.7685546875,1044.96826171875,3002.312744140625,3697.7333984375,3558.9189453125,952.3968505859376
2015-05-26,1294.1240234375,1550.5860595703125,3384.254150390625,2376.301025390625,2986.153564453125,1061.4891357421875,3031.5234375,3652.26904296875,3540.794677734375,941.2427368164062
2015-05-27,1291.4205322265625,1535.836181640625,3388.401611328125,2367.52978515625,3027.692138671875,1048.2723388671875,3056.169677734375,3606.806884765625,3547.8671875,952.3968505859376
2015-05-28,1309.444580078125,1524.773681640625,3384.254150390625,2376.301025390625,2986.153564453125,1049.0985107421875,3087.2060546875,3652.26904296875,3578.368408203125,949.8229370117188
2015-05-29,1338.282958984375,1531.22705078125,3367.664306640625,2371.6845703125,2944.614990234375,1050.7506103515625,3124.63232421875,3629.53759765625,3520.018798828125,947.6779174804688
2015-06-01,1313.9503173828125,1528.9222412109375,3351.0751953125,2369.837890625,2953.84619140625,1057.3590087890625,3106.375732421875,3667.4248046875,3530.185546875,969.1282958984376
2015-06-02,1283.3096923828125,1527.0782470703125,3330.338134765625,2391.075927734375,3027.692138671875,1058.1851806640625,3021.48193359375,3614.383544921875,3513.387451171875,963.5511474609376
2015-06-03,1272.4952392578125,1512.3284912109375,3334.4853515625,2349.06201171875,3036.922607421875,1087.097412109375,2995.9228515625,3614.383544921875,3471.835205078125,953.2548217773438
2015-06-04,1258.9774169921875,1516.9378662109375,3334.4853515625,2324.592529296875,3046.154052734375,1089.5753173828125,2983.14306640625,3614.383544921875,3448.4072265625,944.245849609375
2015-06-05,1268.890380859375,1528.0001220703125,3342.78076171875,2335.67333984375,3069.230224609375,1090.4014892578125,3073.513427734375,3591.651611328125,3527.09130859375,921.9374389648438
2015-06-08,1265.28564453125,1519.7034912109375,3305.453857421875,2326.901123046875,3064.614990234375,1095.3580322265625,3037.9130859375,3621.96044921875,3508.0830078125,918.9345092773438
2015-06-09,1219.324462890625,1497.117431640625,3234.948486328125,2298.738037109375,3018.461181640625,1069.75,2974.0146484375,3568.919921875,3532.838134765625,906.0640869140624
2015-06-10,1200.3992919921875,1450.1021728515625,3218.35888671875,2303.81689453125,2981.538330078125,1070.5760498046875,2930.19873046875,3568.919921875,3585.44091796875,894.909912109375
2015-06-11,1227.4351806640625,1496.195556640625,3214.211669921875,2377.225341796875,3092.30712890625,1078.0107421875,2970.36328125,3561.341796875,3660.147216796875,905.2059936523438
2015-06-12,1207.60888671875,1500.8050537109375,3226.654052734375,2352.293701171875,3170.7685546875,1082.1407470703125,2938.4140625,3531.03271484375,3644.233642578125,887.187744140625
